strike,expiry,T,option_type,moneyness,market_iv,model_iv,iv_error,abs_error
672.0,2026-03-27,0.049315068493150684,call,0.0005653236310460574,0.24197411770181262,0.23624499667074647,-0.005729121031066153,0.005729121031066153
672.0,2026-03-27,0.049315068493150684,put,0.0005653236310460574,0.27162573061960826,0.23624499667074453,-0.035380733948863735,0.035380733948863735
673.0,2026-03-27,0.049315068493150684,put,-0.0009216654905322943,0.2692616893702323,0.2352053201726172,-0.03405636919761512,0.03405636919761512
673.0,2026-03-27,0.049315068493150684,call,-0.0009216654905322943,0.23954020600864995,0.23520532017261717,-0.004334885836032781,0.004334885836032781
671.0,2026-03-27,0.049315068493150684,put,0.002054527182513703,0.27400075014774194,0.23727023223078478,-0.03673051791695717,0.03673051791695717
688.0,2026-03-27,0.049315068493150684,call,-0.022965173779148054,0.1997786646233223,0.21842167722471792,0.018643012601395614,0.018643012601395614
707.0,2026-03-27,0.049315068493150684,call,-0.05020700174237725,0.1480624787780883,0.19315495492477627,0.04509247614668796,0.04509247614668796
575.0,2026-03-27,0.049315068493150684,put,0.15645362335684515,0.4797656353148408,0.31912318852515476,-0.16064244678968603,0.16064244678968603
672.0,2026-03-31,0.06027397260273973,put,0.0005653236310460574,0.25993201758340645,0.23516102359395807,-0.024770993989448375,0.024770993989448375
673.0,2026-03-31,0.06027397260273973,call,-0.0009216654905322943,0.22874944509453776,0.23416229952278958,0.005412854428251818,0.005412854428251818
673.0,2026-03-31,0.06027397260273973,put,-0.0009216654905322943,0.2578137465451529,0.23416229952279044,-0.023651447022362437,0.023651447022362437
671.0,2026-03-31,0.06027397260273973,call,0.002054527182513703,0.2331149499564111,0.23614840414251415,0.0030334541861030406,0.0030334541861030406
671.0,2026-03-31,0.06027397260273973,put,0.002054527182513703,0.2621448809320364,0.23614840414251417,-0.025996476789522244,0.025996476789522244
656.0,2026-03-31,0.06027397260273973,put,0.024662875210106464,0.29328061535182504,0.2508615044024398,-0.04241911094938522,0.04241911094938522
710.0,2026-03-31,0.06027397260273973,put,-0.05444130588116553,0.2110230824719661,0.18842255510565278,-0.022600527366313322,0.022600527366313322
574.0,2026-03-31,0.06027397260273973,put,0.15819426783462917,0.45186766192993616,0.31714807723148775,-0.1347195846984484,0.1347195846984484
672.0,2026-04-02,0.06575342465753424,call,0.0005653236310460574,0.23259649894948883,0.2346082446133289,0.0020117456638400755,0.0020117456638400755
672.0,2026-04-02,0.06575342465753424,put,0.0005653236310460574,0.25856205205046445,0.2346082446133289,-0.023953807437135544,0.023953807437135544
673.0,2026-04-02,0.06575342465753424,put,-0.0009216654905322943,0.25639258401637777,0.23362562086845878,-0.022766963147918984,0.022766963147918984
671.0,2026-04-02,0.06575342465753424,put,0.002054527182513703,0.2606085172452347,0.2355832432227184,-0.02502527402251631,0.02502527402251631
674.0,2026-04-02,0.06575342465753424,put,-0.00240644675811147,0.25424309228025194,0.23263189686891847,-0.021611195411333467,0.021611195411333467
660.0,2026-04-02,0.06575342465753424,put,0.018583829133724285,0.2827482440073414,0.2464248615354715,-0.03632338247186989,0.03632338247186989
645.0,2026-04-02,0.06575342465753424,put,0.041573347358422975,0.3117101639022097,0.2598980377567279,-0.05181212614548181,0.05181212614548181
575.0,2026-04-02,0.06575342465753424,put,0.15645362335684515,0.44380761805179486,0.3154429553379489,-0.12836466271384595,0.12836466271384595
673.0,2026-04-10,0.08767123287671233,put,-0.0009216654905322943,0.24442363151071098,0.23153327373409716,-0.01289035777661382,0.01289035777661382
671.0,2026-04-10,0.08767123287671233,put,0.002054527182513703,0.24797000305871894,0.23348003813755558,-0.014489964921163362,0.014489964921163362
674.0,2026-04-10,0.08767123287671233,put,-0.00240644675811147,0.24259889792545275,0.23056682757145702,-0.012032070353995727,0.012032070353995727
670.0,2026-04-10,0.08767123287671233,call,0.0035459517691838593,0.22653847333260932,0.2344633563203968,0.007924882987787485,0.007924882987787485
670.0,2026-04-10,0.08767123287671233,put,0.0035459517691838593,0.24975878373514254,0.2344633563203968,-0.015295427414745738,0.015295427414745738
685.0,2026-04-10,0.08767123287671233,call,-0.018595174108029747,0.197228572438699,0.21929153931552503,0.022062966876826018,0.022062966876826018
705.0,2026-04-10,0.08767123287671233,call,-0.04737413865807312,0.1564055875344166,0.19556744826158431,0.03916186072716771,0.03916186072716771
575.0,2026-04-10,0.08767123287671233,put,0.15645362335684515,0.41089798039127823,0.31096037505925916,-0.09993760533201906,0.09993760533201906
672.0,2026-04-17,0.10684931506849316,call,0.0005653236310460574,0.21875492650195433,0.23095221601105875,0.012197289509104425,0.012197289509104425
672.0,2026-04-17,0.10684931506849316,put,0.0005653236310460574,0.24022022611122584,0.23095221601105811,-0.009268010100167728,0.009268010100167728
673.0,2026-04-17,0.10684931506849316,put,-0.0009216654905322943,0.23861553005120356,0.2299657758175426,-0.008649754233660961,0.008649754233660961
673.0,2026-04-17,0.10684931506849316,call,-0.0009216654905322943,0.21697169603973968,0.22996577581754263,0.012994079777802953,0.012994079777802953
671.0,2026-04-17,0.10684931506849316,call,0.002054527182513703,0.22045038571624384,0.2319412836804758,0.011490897964231972,0.011490897964231972
